uid treatment rep update task count partner
Grid0_10 Grid0 10 500 XOR 0 Host
Grid0_10 Grid0 10 500 XOR 0 Parasite
Grid0_10 Grid0 10 500 EQU 0 Host
Grid0_10 Grid0 10 500 EQU 0 Parasite
Grid0_10 Grid0 10 550 NOT 8324 Host
Grid0_10 Grid0 10 550 NOT 5311 Parasite
Grid0_10 Grid0 10 550 NAND 0 Host
Grid0_10 Grid0 10 550 NAND 4 Parasite
Grid0_10 Grid0 10 550 AND 5 Host
Grid0_10 Grid0 10 550 AND 0 Parasite
Grid0_10 Grid0 10 550 ORN 2 Host
Grid0_10 Grid0 10 550 ORN 2 Parasite
Grid0_10 Grid0 10 550 OR 1 Host
Grid0_10 Grid0 10 550 OR 1 Parasite
Grid0_10 Grid0 10 550 ANDN 0 Host
Grid0_10 Grid0 10 550 ANDN 0 Parasite
Grid0_10 Grid0 10 550 NOR 0 Host
Grid0_10 Grid0 10 550 NOR 0 Parasite
Grid0_10 Grid0 10 550 XOR 0 Host
Grid0_10 Grid0 10 550 XOR 0 Parasite
Grid0_10 Grid0 10 550 EQU 0 Host
Grid0_10 Grid0 10 550 EQU 0 Parasite
Grid0_10 Grid0 10 600 NOT 8336 Host
Grid0_10 Grid0 10 600 NOT 4890 Parasite
Grid0_10 Grid0 10 600 NAND 0 Host
Grid0_10 Grid0 10 600 NAND 4 Parasite
Grid0_10 Grid0 10 600 AND 2 Host
Grid0_10 Grid0 10 600 AND 1 Parasite
Grid0_10 Grid0 10 600 ORN 2 Host
Grid0_10 Grid0 10 600 ORN 1 Parasite
Grid0_10 Grid0 10 600 OR 0 Host
Grid0_10 Grid0 10 600 OR 2 Parasite
Grid0_10 Grid0 10 600 ANDN 0 Host
Grid0_10 Grid0 10 600 ANDN 0 Parasite
Grid0_10 Grid0 10 600 NOR 0 Host
Grid0_10 Grid0 10 600 NOR 0 Parasite
Grid0_10 Grid0 10 600 XOR 0 Host
Grid0_10 Grid0 10 600 XOR 0 Parasite
Grid0_10 Grid0 10 600 EQU 0 Host
Grid0_10 Grid0 10 600 EQU 0 Parasite
Grid0_10 Grid0 10 650 NOT 8327 Host
Grid0_10 Grid0 10 650 NOT 4397 Parasite
Grid0_10 Grid0 10 650 NAND 0 Host
Grid0_10 Grid0 10 650 NAND 2 Parasite
Grid0_10 Grid0 10 650 AND 4 Host
Grid0_10 Grid0 10 650 AND 0 Parasite
Grid0_10 Grid0 10 650 ORN 0 Host
Grid0_10 Grid0 10 650 ORN 1 Parasite
Grid0_10 Grid0 10 650 OR 3 Host
Grid0_10 Grid0 10 650 OR 2 Parasite
Grid0_10 Grid0 10 650 ANDN 2 Host
Grid0_10 Grid0 10 650 ANDN 0 Parasite
Grid0_10 Grid0 10 650 NOR 0 Host
Grid0_10 Grid0 10 650 NOR 0 Parasite
Grid0_10 Grid0 10 650 XOR 0 Host
Grid0_10 Grid0 10 650 XOR 0 Parasite
Grid0_10 Grid0 10 650 EQU 0 Host
Grid0_10 Grid0 10 650 EQU 0 Parasite
Grid0_10 Grid0 10 700 NOT 8332 Host
Grid0_10 Grid0 10 700 NOT 4642 Parasite
Grid0_10 Grid0 10 700 NAND 0 Host
Grid0_10 Grid0 10 700 NAND 3 Parasite
Grid0_10 Grid0 10 700 AND 3 Host
Grid0_10 Grid0 10 700 AND 0 Parasite
Grid0_10 Grid0 10 700 ORN 1 Host
Grid0_10 Grid0 10 700 ORN 2 Parasite
Grid0_10 Grid0 10 700 OR 1 Host
Grid0_10 Grid0 10 700 OR 3 Parasite
Grid0_10 Grid0 10 700 ANDN 1 Host
Grid0_10 Grid0 10 700 ANDN 1 Parasite
Grid0_10 Grid0 10 700 NOR 0 Host
Grid0_10 Grid0 10 700 NOR 0 Parasite
Grid0_10 Grid0 10 700 XOR 0 Host
Grid0_10 Grid0 10 700 XOR 0 Parasite
Grid0_10 Grid0 10 700 EQU 0 Host
Grid0_10 Grid0 10 700 EQU 0 Parasite
Grid0_10 Grid0 10 750 NOT 8336 Host
Grid0_10 Grid0 10 750 NOT 4650 Parasite
Grid0_10 Grid0 10 750 NAND 0 Host
Grid0_10 Grid0 10 750 NAND 2 Parasite
Grid0_10 Grid0 10 750 AND 2 Host
Grid0_10 Grid0 10 750 AND 2 Parasite
Grid0_10 Grid0 10 750 ORN 0 Host
Grid0_10 Grid0 10 750 ORN 0 Parasite
Grid0_10 Grid0 10 750 OR 0 Host
Grid0_10 Grid0 10 750 OR 4 Parasite
Grid0_10 Grid0 10 750 ANDN 3 Host
Grid0_10 Grid0 10 750 ANDN 0 Parasite
Grid0_10 Grid0 10 750 NOR 0 Host
Grid0_10 Grid0 10 750 NOR 0 Parasite
Grid0_10 Grid0 10 750 XOR 0 Host
Grid0_10 Grid0 10 750 XOR 0 Parasite
Grid0_10 Grid0 10 750 EQU 0 Host
Grid0_10 Grid0 10 750 EQU 0 Parasite
Grid0_10 Grid0 10 800 NOT 8337 Host
Grid0_10 Grid0 10 800 NOT 4323 Parasite
Grid0_10 Grid0 10 800 NAND 0 Host
Grid0_10 Grid0 10 800 NAND 3 Parasite
Grid0_10 Grid0 10 800 AND 0 Host
Grid0_10 Grid0 10 800 AND 1 Parasite
Grid0_10 Grid0 10 800 ORN 1 Host
Grid0_10 Grid0 10 800 ORN 0 Parasite
Grid0_10 Grid0 10 800 OR 1 Host
Grid0_10 Grid0 10 800 OR 0 Parasite
Grid0_10 Grid0 10 800 ANDN 3 Host
Grid0_10 Grid0 10 800 ANDN 0 Parasite
Grid0_10 Grid0 10 800 NOR 0 Host
Grid0_10 Grid0 10 800 NOR 0 Parasite
Grid0_10 Grid0 10 800 XOR 0 Host
Grid0_10 Grid0 10 800 XOR 0 Parasite
Grid0_10 Grid0 10 800 EQU 0 Host
Grid0_10 Grid0 10 800 EQU 0 Parasite
Grid0_10 Grid0 10 850 NOT 8344 Host
Grid0_10 Grid0 10 850 NOT 4086 Parasite
Grid0_10 Grid0 10 850 NAND 0 Host
Grid0_10 Grid0 10 850 NAND 3 Parasite
Grid0_10 Grid0 10 850 AND 1 Host
Grid0_10 Grid0 10 850 AND 2 Parasite
Grid0_10 Grid0 10 850 ORN 1 Host
Grid0_10 Grid0 10 850 ORN 0 Parasite
Grid0_10 Grid0 10 850 OR 0 Host
Grid0_10 Grid0 10 850 OR 1 Parasite
Grid0_10 Grid0 10 850 ANDN 1 Host
Grid0_10 Grid0 10 850 ANDN 0 Parasite
Grid0_10 Grid0 10 850 NOR 0 Host
Grid0_10 Grid0 10 850 NOR 0 Parasite
Grid0_10 Grid0 10 850 XOR 0 Host
Grid0_10 Grid0 10 850 XOR 0 Parasite
